zipcode,location,coords,city,state,country
46019,"Rascanya, Comarca de València, València / Valencia, Comunitat Valenciana, 46019, España","(39.4953625958325, -0.3700137625740026, 0.0)",,Comunitat Valenciana,España
04009,"Almería, Andalucía, 04009, España","(36.85395038320186, -2.442362537375912, 0.0)",Almería,Andalucía,España
08225,"Terrassa, Vallès Occidental, Barcelona, Catalunya, 08225, España","(41.57580242631579, 2.0044612632667254, 0.0)",Terrassa,Catalunya,España
28005,"Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28005, España","(40.408922040409664, -3.709963770235679, 0.0)",Madrid,Comunidad de Madrid,España
08950,"Esplugues de Llobregat, Baix Llobregat, Barcelona, Catalunya, 08950, España","(41.37444311555243, 2.0879183209675207, 0.0)",Esplugues de Llobregat,Catalunya,España
07007,"Palma, Illes Balears, 07007, España","(39.55991241923078, 2.685227900303082, 0.0)",Palma,Illes Balears,España
46023,"Camins al Grau, Comarca de València, València / Valencia, Comunitat Valenciana, 46023, España","(39.46394118251729, -0.3530410924145848, 0.0)",,Comunitat Valenciana,España
03690,"Sant Vicent del Raspeig / San Vicente del Raspeig, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, 03690, España","(38.3958152748326, -0.5211878975399276, 0.0)",,Comunitat Valenciana,España
30139,"Pedanía de El Raal, Murcia, Área Metropolitana de Murcia, Región de Murcia, 30139, España","(38.03607844999999, -1.0342946840315599, 0.0)",Murcia,Región de Murcia,España
28007,"Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28007, España","(40.40693018882692, -3.6723427086187455, 0.0)",Madrid,Comunidad de Madrid,España
46910,"Alfafar, l'Horta Sud, València / Valencia, Comunitat Valenciana, 46910, España","(39.42095052731244, -0.38349491088600474, 0.0)",Alfafar,Comunitat Valenciana,España
29039,"Tetuán, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 29039, España","(40.457536, -3.7017505, 0.0)",Madrid,Comunidad de Madrid,España
46340,"Dégagnac, Gourdon, Lot, Occitanie, France métropolitaine, 46340, France","(44.66134960416667, 1.2943338186180906, 0.0)",,Occitanie,France
04410,"Saint-Jurs, Digne-les-Bains, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, 04410, France","(43.87933975595642, 6.153913526785905, 0.0)",,Provence-Alpes-Côte d'Azur,France
45600,"Sully-sur-Loire, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45600, France","(47.73866094945106, 2.3968233082438117, 0.0)",,Centre-Val de Loire,France
03160,"Bourbon-l'Archambault, Moulins, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03160, France","(46.59163429018768, 3.042010096056047, 0.0)",,Auvergne-Rhône-Alpes,France
41500,"Mer, Blois, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41500, France","(47.6980826388889, 1.4856049589508644, 0.0)",,Centre-Val de Loire,France
31014,"Rochapea, Pamplona/Iruña, Navarra - Nafarroa, 31014, España","(42.82568929231289, -1.6493136092610778, 0.0)",Pamplona/Iruña,Navarra - Nafarroa,España
28030,"Moratalaz, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28030, España","(40.40538651793499, -3.6454598610939932, 0.0)",Madrid,Comunidad de Madrid,España
39006,"Santander, Cantabria, 39006, España","(43.46729306513806, -3.807825532341428, 0.0)",Santander,Cantabria,España
08970,"Sant Joan Despí, Baix Llobregat, Barcelona, Catalunya, 08970, España","(41.3687143734375, 2.0633717313270017, 0.0)",,Catalunya,España
21440,"Vaux-Saules, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21440, France","(47.47360843714286, 4.787108833340228, 0.0)",,Bourgogne-Franche-Comté,France
41010,"Triana, Sevilla, Andalucía, 41010, España","(37.379993651603634, -6.004033722443915, 0.0)",Sevilla,Andalucía,España
04004,"Almería, Andalucía, 04004, España","(36.841895819444446, -2.4591762613002603, 0.0)",Almería,Andalucía,España
02001,"Laon, Aisne, Hauts-de-France, France métropolitaine, 02001, France","(49.561720533333336, 3.620376528344855, 0.0)",,Hauts-de-France,France
29770,"Esquibien, Quimper, Finistère, Bretagne, France métropolitaine, 29770, France","(48.021449076822904, -4.557468008705218, 0.0)",,Bretagne,France
28034,"Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28034, España","(40.490843040821574, -3.6977751119877795, 0.0)",Madrid,Comunidad de Madrid,España
28232,"Las Rozas de Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28232, España","(40.52831528884501, -3.915841349791808, 0.0)",,Comunidad de Madrid,España
39005,"Santander, Cantabria, 39005, España","(43.47094360516738, -3.791918796559448, 0.0)",Santander,Cantabria,España
28813,"Bee, Verbano-Cusio-Ossola, Piemonte, 28813, Italia","(45.962066416666666, 8.58042032803438, 0.0)",,Piemonte,Italia
02005,"Albacete, Castilla-La Mancha, 02005, España","(39.0039839, -1.8666942612942345, 0.0)",,Castilla-La Mancha,España
50013,"San José, Zaragoza, Aragón, 50013, España","(41.64073920478725, -0.8686929986702941, 0.0)",Zaragoza,Aragón,España
28760,"Tres Cantos, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28760, España","(40.60502764410355, -3.709094338554758, 0.0)",,Comunidad de Madrid,España
28023,"Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28023, España","(40.45416013157892, -3.786613210245901, 0.0)",Madrid,Comunidad de Madrid,España
28806,"Distrito IV, Alcalá de Henares, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28806, España","(40.49970494814363, -3.371242671387047, 0.0)",Alcalá de Henares,Comunidad de Madrid,España
33195,"Oviedo, Asturias / Asturies, 33195, España","(43.34473833152788, -5.808178805347605, 0.0)",Oviedo,Asturias / Asturies,España
23009,"Jaén, Andalucía, 23009, España","(37.7816544868785, -3.782755363774608, 0.0)",Jaén,Andalucía,España
33750,"Saint-Germain-du-Puch, Libourne, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33750, France","(44.84464719499999, -0.32240783659973304, 0.0)",,Nouvelle-Aquitaine,France
39572,"Pesaguero, Liébana, Cantabria, 39572, España","(43.0739222375, -4.5490129, 0.0)",,Cantabria,España
48230,"Chanac, Mende, Lozère, Occitanie, France métropolitaine, 48230, France","(44.475913863636364, 3.3409791581451653, 0.0)",,Occitanie,France
41015,"Distrito Norte, Sevilla, Andalucía, 41015, España","(37.42692370912167, -5.983555940743321, 0.0)",Sevilla,Andalucía,España
47270,"Tayrac, Agen, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47270, France","(44.19292480277778, 0.804058407911256, 0.0)",,Nouvelle-Aquitaine,France
34004,"Palencia, Castilla y León, 34004, España","(42.001407105999995, -4.523071619198142, 0.0)",Palencia,Castilla y León,España
45530,"Combreux, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45530, France","(47.95120813437501, 2.289885108880055, 0.0)",,Centre-Val de Loire,France
04007,"Almería, Andalucía, 04007, España","(36.83050408220339, -2.45052558907192, 0.0)",Almería,Andalucía,España
28200,"Châteaudun, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28200, France","(48.074622838461536, 1.345385869269431, 0.0)",,Centre-Val de Loire,France
28021,"Villaverde, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28021, España","(40.34637340456449, -3.706884919800276, 0.0)",Madrid,Comunidad de Madrid,España
48215,"Iurreta, Bizkaia, Euskadi, 48215, España","(43.18385335, -2.6452779676836102, 0.0)",,Euskadi,España
46100,"Figeac, Lot, Occitanie, France métropolitaine, 46100, France","(44.61179406856836, 2.018879515490067, 0.0)",,Occitanie,France
28050,"Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28050, España","(40.49299237710278, -3.6616128904345584, 0.0)",Madrid,Comunidad de Madrid,España
13360,"Roquevaire, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13360, France","(43.344801131249994, 5.601757878663382, 0.0)",,Provence-Alpes-Côte d'Azur,France
323903,,,,,
46014,"l'Olivereta, Comarca de València, València / Valencia, Comunitat Valenciana, 46014, España","(39.46419894532788, -0.402976208876778, 0.0)",,Comunitat Valenciana,España
29620,"Lanmeur, Morlaix, Finistère, Bretagne, France métropolitaine, 29620, France","(48.65169987142858, -3.702278846534825, 0.0)",,Bretagne,France
31016,"Mendillorri, Beloso, Pamplona/Iruña, Navarra - Nafarroa, 31016, España","(42.81147155882352, -1.6162416410502192, 0.0)",Pamplona/Iruña,Navarra - Nafarroa,España
28043,"Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28043, España","(40.462150806595375, -3.6381745707030055, 0.0)",Madrid,Comunidad de Madrid,España
46730,"Gandia, la Safor, València / Valencia, Comunitat Valenciana, 46730, España","(38.9984457811984, -0.16845711191021606, 0.0)",,Comunitat Valenciana,España
06700,"Saint-Laurent-du-Var, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06700, France","(43.67066111132075, 7.190495592630321, 0.0)",,Provence-Alpes-Côte d'Azur,France
4485-722,"Vila Chã, Vila do Conde, Porto, 4485-722, Portugal","(41.2986664, -8.731946211141459, 0.0)",Vila do Conde,,Portugal
08015,"Macumere/Macomer, Nuoro, Sardigna/Sardegna, 08015, Italia","(40.265800485, 8.774859928881547, 0.0)",,Sardigna/Sardegna,Italia
30158,"Murcia, Área Metropolitana de Murcia, Región de Murcia, 30158, España","(37.95868316530054, -1.0787718235019497, 0.0)",Murcia,Región de Murcia,España
08830,"Sant Boi de Llobregat, Baix Llobregat, Barcelona, Catalunya, 08830, España","(41.3409764343312, 2.042898294871836, 0.0)",,Catalunya,España
28018,"Puente de Vallecas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28018, España","(40.384578033411486, -3.6537746402947353, 0.0)",Madrid,Comunidad de Madrid,España
06800,"Mérida, Badajoz, Extremadura, 06800, España","(38.91964641998035, -6.34521229716575, 0.0)",Mérida,Extremadura,España
08032,"Horta-Guinardó, Barcelona, Barcelonès, Barcelona, Catalunya, 08032, España","(41.42260484544609, 2.161083126280616, 0.0)",Barcelona,Catalunya,España
11405,"Jerez de la Frontera, Campiña de Jerez, Cádiz, Andalucía, 11405, España","(36.69568137307692, -6.117076497305598, 0.0)",Jerez de la Frontera,Andalucía,España
43840,"Salou, Tarragonès, Tarragona, Catalunya, 43840, España","(41.06873420833331, 1.1525803828861367, 0.0)",Salou,Catalunya,España
50019,"Sesto Fiorentino, Firenze, Toscana, 50019, Italia","(43.833476799771674, 11.19999523646547, 0.0)",,Toscana,Italia
28943,"Cerro - El Molino, Fuenlabrada, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28943, España","(40.284164764390724, -3.8044685503008364, 0.0)",Fuenlabrada,Comunidad de Madrid,España
06130,"Damaschkestraße, Halle (Saale), Sachsen-Anhalt, 06130, Deutschland","(51.45235737188599, 11.976121872680467, 0.0)",Halle (Saale),Sachsen-Anhalt,Deutschland
28002,"Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28002, España","(40.44496843121317, -3.6727611164266607, 0.0)",Madrid,Comunidad de Madrid,España
43893,"Altafulla, Tarragonès, Tarragona, Catalunya, 43893, España","(41.139362327777775, 1.3756292934140342, 0.0)",,Catalunya,España
28600,"Luisant, Chartres, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28600, France","(48.42257728907728, 1.4621982466959595, 0.0)",,Centre-Val de Loire,France
28020,"Tetuán, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28020, España","(40.45808544260567, -3.697229252833902, 0.0)",Madrid,Comunidad de Madrid,España
03185,"Torrevieja, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03185, España","(38.0193777625, -0.7222117, 0.0)",,Comunitat Valenciana,España
08208,"Sabadell, Vallès Occidental, Barcelona, Catalunya, 08208, España","(41.55409419871796, 2.1275691792568048, 0.0)",Sabadell,Catalunya,España
28703,"San Sebastián de los Reyes, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28703, España","(40.549418876744184, -3.6188307259649966, 0.0)",,Comunidad de Madrid,España
03550,"Sant Joan d'Alacant, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, 03550, España","(38.398962766842104, -0.43477806436748045, 0.0)",,Comunitat Valenciana,España
11510,"Treilles, Narbonne, Aude, Occitanie, France métropolitaine, 11510, France","(42.91238487307692, 2.9616138199291617, 0.0)",,Occitanie,France
29002,"Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España","(36.70733484551257, -4.43430672051629, 0.0)",Málaga,Andalucía,España
33819,"3388_33819, Triulzo Superiore, Municipio 4, Chiaravalle, Milano, Lombardia, 20138, Italia","(45.4273614, 9.2525378, 0.0)",Milano,Lombardia,Italia
O88oo,,,,,
48901,"Barakaldo, Bizkaia, Euskadi, 48901, España","(43.29838773200628, -2.9880770197220947, 0.0)",Barakaldo,Euskadi,España
33203,"Distrito Rural, Gijón/Xixón, Asturias / Asturies, 33203, España","(43.53737720874179, -5.627573857182867, 0.0)",Gijón/Xixón,Asturias / Asturies,España
08221,"Terrassa, Vallès Occidental, Barcelona, Catalunya, 08221, España","(41.56379885319148, 2.0114012779123653, 0.0)",Terrassa,Catalunya,España
45100,"Olivet, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45100, France","(47.85561757850714, 1.9184217781208976, 0.0)",,Centre-Val de Loire,France
