city,zipcode,query,location,coords,city_y,state,country
Lishui,323903,Lishui 323903,,,,,
Vila do Conde,4485-722,Vila do Conde 4485-722,"Vila do Conde, Porto, Portugal","(41.3580981, -8.7475631, 0.0)",Vila do Conde,,Portugal
Vilanova i la Geltrú,O88oo,Vilanova i la Geltrú O88oo,,,,,
Can Picafort,07458,Can Picafort 07458,"Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España","(39.76802, 3.1493162, 0.0)",,Illes Balears,España
Antas/Aljariz,04629,Antas/Aljariz 04629,"Cementerio Municipal de Antas, Aljariz, Antas, Almería, Andalucía, España","(37.249173799999994, -1.9216104304122967, 0.0)",,Andalucía,España
LA MURADA (ORIHUELA),03315,LA MURADA (ORIHUELA) 03315,"La Murada, Orihuela, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03316, España","(38.1708612, -0.9635764, 0.0)",,Comunitat Valenciana,España
Hospitalet Llobregat,08901,Hospitalet Llobregat 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
SALAMANCA,347007,SALAMANCA 347007,,,,,
Lisboa,1750 341 Lisboa,Lisboa 1750 341 Lisboa,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
LOSAR DE LA VERA,10460,LOSAR DE LA VERA 10460,"Losar de la Vera, La Vera, Cáceres, Extremadura, 10460, España","(40.121961, -5.6069115, 0.0)",,Extremadura,España
Almeria,04002,Almeria 04002,"Almería, Andalucía, 04002, España","(36.837114053125, -2.478063749375124, 0.0)",Almería,Andalucía,España
OROPESA DEL MAR,05619,OROPESA DEL MAR 05619,"Faro de Oropesa del Mar, Paseo Marítimo Torre del Rey, La Concha, Orpesa / Oropesa del Mar, la Plana Alta, Castelló / Castellón, Comunitat Valenciana, 12594, España","(40.0832055, 0.1467135663333332, 0.0)",,Comunitat Valenciana,España
Dalías,04750,Dalías 04750,,,,,
MURCIA,30166,MURCIA 30166,"Murcia, Casetas, Zaragoza, Aragón, 50620, España","(41.7212475, -1.0291324, 0.0)",Zaragoza,Aragón,España
VALDIVIA,06720,VALDIVIA 06720,"Valdivia, Madrigalejo, Miajadas, Cáceres, Extremadura, España","(39.144536, -5.6274464, 0.0)",,Extremadura,España
SAN CARLOS DEL VALLE,13247,SAN CARLOS DEL VALLE 13247,"San Carlos del Valle, Campo de Montiel, Ciudad Real, Castilla-La Mancha, España","(38.8443306, -3.2416783, 0.0)",,Castilla-La Mancha,España
fuentes de andalucia,41420,fuentes de andalucia 41420,"Fuentes de Andalucía, Sevilla, Andalucía, España","(37.4645318, -5.3443621, 0.0)",,Andalucía,España
Alcántara,10980,Alcántara 10980,"Alcántara, Tajo-Salor, Cáceres, Extremadura, 10980, España","(39.7205221, -6.8879981, 0.0)",,Extremadura,España
cambados,36635,cambados 36635,"Cambados, O Salnés, Pontevedra, Galicia, 36630, España","(42.5099839, -8.8118829, 0.0)",,Galicia,España
GUADALAJARA,19139,GUADALAJARA 19139,"Guadalajara, La Zubia, Comarca de la Vega de Granada, Granada, Andalucía, 18140, España","(37.1174208, -3.5806662, 0.0)",La Zubia,Andalucía,España
Uceda,19188,Uceda 19188,"Uceda, Marmolejo, Jaén, Andalucía, 23770, España","(38.0831164, -4.1761163, 0.0)",,Andalucía,España
Uceda ,19188,Uceda  19188,"Uceda, Marmolejo, Jaén, Andalucía, 23770, España","(38.0831164, -4.1761163, 0.0)",,Andalucía,España
HERNAN CORTES,06412,HERNAN CORTES 06412,"Hernán Cortés - Ciril Amorós, Carrer d'Hernán Cortés, el Pla del Remei, l'Eixample, Comarca de València, València / Valencia, Comunitat Valenciana, 46004, España","(39.4671035, -0.3706689, 0.0)",,Comunitat Valenciana,España
Benifla,46722,Benifla 46722,"Beniflá, la Safor, València / Valencia, Comunitat Valenciana, 46721, España","(38.9282759, -0.1884609, 0.0)",Beniflá,Comunitat Valenciana,España
villaverde del rio,41318,villaverde del rio 41318,"Villaverde del Río, Sevilla, Andalucía, España","(37.591905, -5.875939, 0.0)",,Andalucía,España
Paços de Ferreira,4595-202,Paços de Ferreira 4595-202,"Paços de Ferreira, Porto, Portugal","(41.2896264, -8.378398223742572, 0.0)",,,Portugal
Losar de La Vera,10460,Losar de La Vera 10460,"Losar de la Vera, La Vera, Cáceres, Extremadura, 10460, España","(40.121961, -5.6069115, 0.0)",,Extremadura,España
Portocolom ,07670,Portocolom  07670,"Portocolom, Felanich, Migjorn, Illes Balears, 07670, España","(39.4260949, 3.2647278, 0.0)",,Illes Balears,España
Guiyang,550001,Guiyang 550001,,,,,
Orón - Miranda de Ebro,09219,Orón - Miranda de Ebro 09219,"Orón, Miranda de Ebro, Burgos, Castilla y León, 09200, España","(42.6701922, -2.9814, 0.0)",,Castilla y León,España
Ribadesella,33345,Ribadesella 33345,"Ribeseya, Asturias / Asturies, 33560, España","(43.4617129, -5.0587479, 0.0)",,Asturias / Asturies,España
ITUERO Y LAMA,40151,ITUERO Y LAMA 40151,"Ituero y Lama, Segovia, Castilla y León, España","(40.8001736, -4.377953, 0.0)",,Castilla y León,España
BRAGA,4700-309,BRAGA 4700-309,"Braga, Portugal","(41.5510583, -8.4280045, 0.0)",Braga,,Portugal
Maia,4475-838,Maia 4475-838,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
Villarrodrigo De Las Regueras,24197,Villarrodrigo De Las Regueras 24197,"Villarrodrigo de las Regueras, Villaquilambre, León, Castilla y León, 24195, España","(42.6349132, -5.5349678, 0.0)",,Castilla y León,España
ELS VALENTINS,43559,ELS VALENTINS 43559,"els Valentins, Ulldecona, Montsià, Tarragona, Catalunya, 43550, España","(40.6272301, 0.3660321, 0.0)",Ulldecona,Catalunya,España
Porto,4100-199,Porto 4100-199,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Lisboa,1350-179,Lisboa 1350-179,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Cañada Rosal,41439,Cañada Rosal 41439,"Cañada Rosal, Sevilla, Andalucía, España","(37.5976936, -5.2104153, 0.0)",,Andalucía,España
Sevilleja de la Jara,45671,Sevilleja de la Jara 45671,"Sevilleja de la Jara, La Jara, Toledo, Castilla-La Mancha, España","(39.5743406, -4.9647281, 0.0)",,Castilla-La Mancha,España
El ejido ,07411,El ejido  07411,"Urbanización el Ejido, Maltrana, Valle de Mena, Burgos, Castilla y León, 09586, España","(43.1274895, -3.2688646, 0.0)",Valle de Mena,Castilla y León,España
La villa de don fadrique,45850,La villa de don fadrique 45850,"La Villa de Don Fadrique, Mancha Alta de Toledo, Toledo, Castilla-La Mancha, España","(39.6180333, -3.2182294, 0.0)",La Villa de Don Fadrique,Castilla-La Mancha,España
Lisboa,1500-328,Lisboa 1500-328,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
ARCOS DE LA FROTERA,11638,ARCOS DE LA FROTERA 11638,,,,,
Relleu,03578,Relleu 03578,"Relleu, la Marina Baixa, Alacant / Alicante, Comunitat Valenciana, España","(38.5874435, -0.3111354, 0.0)",,Comunitat Valenciana,España
Villarrodrigo de las Regueras,24197,Villarrodrigo de las Regueras 24197,"Villarrodrigo de las Regueras, Villaquilambre, León, Castilla y León, 24195, España","(42.6349132, -5.5349678, 0.0)",,Castilla y León,España
barcelona,08754,barcelona 08754,,,,,
ANADIA,3780-541,ANADIA 3780-541,"Anadia, Aveiro, Portugal","(40.4426833, -8.4359581, 0.0)",Anadia,,Portugal
La Murada-Orihuela ,03315,La Murada-Orihuela  03315,"La Murada, Orihuela, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03316, España","(38.1708612, -0.9635764, 0.0)",,Comunitat Valenciana,España
Portimão ,8500-072,Portimão  8500-072,"Portimão, Faro, Portugal","(37.1375808, -8.5368426, 0.0)",Portimão,,Portugal
L'Hospitalet,08901,L'Hospitalet 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
El Vendrell el Vendrell ,4370043700,El Vendrell el Vendrell  4370043700,"el Vendrell, Baix Penedès, Tarragona, Catalunya, 43700, España","(41.2199677, 1.5348566, 0.0)",el Vendrell,Catalunya,España
MAIA,4470-608,MAIA 4470-608,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
El pozo de guadalajara,19161,El pozo de guadalajara 19161,"El Pozo, Baños de Tajo, Guadalajara, Castilla-La Mancha, España","(40.7108668, -2.0271543, 0.0)",,Castilla-La Mancha,España
ALDEASECA,05212,ALDEASECA 05212,,,,,
REFELCOFER,46716,REFELCOFER 46716,,,,,
MONFORTE DEL CID,03679,MONFORTE DEL CID 03679,"Monforte del Cid, el Vinalopó Mitjà / El Vinalopó Medio, Alacant / Alicante, Comunitat Valenciana, 03670, España","(38.3791541, -0.7290459, 0.0)",,Comunitat Valenciana,España
Cañaveral,10820,Cañaveral 10820,"Cañaveral, Monfragüe, Cáceres, Extremadura, 10820, España","(39.7897226, -6.3933113, 0.0)",,Extremadura,España
